Id,Prediction
1,0.991951
2,0.013251
3,0.091030
4,0.999802
5,0.999605
6,0.000015
7,0.994484
8,0.999977
9,0.129558
10,0.998426
11,0.999914
12,0.435622
13,0.126757
14,0.916384
15,0.996493
16,0.999965
17,0.999999
18,0.955717
19,0.054777
20,0.572862
21,0.999823
22,0.846111
23,0.063207
24,0.000370
25,0.997334
26,0.999918
27,0.001707
28,0.993679
29,0.999121
30,0.992543
31,0.990389
32,0.999896
33,0.980079
34,0.003964
35,0.999985
36,0.999999
37,0.157320
38,0.828204
39,0.920090
40,0.989953
41,0.999523
42,0.999998
43,0.081278
44,0.854337
45,0.094449
46,0.999989
47,0.976699
48,0.835658
49,1.000000
50,0.999786
51,0.337355
52,0.997435
53,0.440166
54,0.997017
55,0.093085
56,0.389277
57,0.111774
58,0.996474
59,0.935428
60,0.080235
61,0.851908
62,0.790120
63,0.990152
64,0.998374
65,0.999990
66,0.108967
67,0.923819
68,0.115438
69,0.084900
70,0.843304
71,0.950809
72,0.999996
73,0.014835
74,0.191316
75,0.094345
76,0.999849
77,0.143188
78,0.999768
79,0.984665
80,0.493269
81,0.386104
82,0.969611
83,0.979014
84,0.126824
85,0.012730
86,0.999721
87,0.019036
88,1
89,0.999719
90,0.015880
91,0.468295
92,0.978975
93,0.188678
94,0.005177
95,0.999982
96,0.999088
97,0.019343
98,0.984769
99,0.437766
100,0.999981
101,0.999694
102,0.999997
103,0.999589
104,0.004486
105,0.512583
106,0.999812
107,0.947310
108,0.706392
109,0.260702
110,1
111,0.996741
112,0.000365
113,0.820539
114,0.058113
115,0.943761
116,0.041074
117,0.997945
118,0.330729
119,0.060574
120,0.999911
121,0.250703
122,0.984765
123,0.916127
124,0.954191
125,0.407725
126,0.203849
127,0.031371
128,0.150078
129,0.993761
130,0.635989
131,0.942131
132,0.961832
133,0.084432
134,0.000000
135,0.999848
136,0.441249
137,0.678771
138,0.812661
139,0.998344
140,0.873346
141,0.940589
142,0.543831
143,0.987645
144,0.999985
145,0.001560
146,0.207492
147,0.975609
148,0.999931
149,0.999953
150,0.991456
151,0.036338
152,0.959667
153,0.044465
154,0.997829
155,0.945107
156,0.998630
157,0.000172
158,0.999412
159,0.999293
160,0.999846
161,0.999782
162,0.995349
163,0.017837
164,0.999806
165,0.048725
166,0.125548
167,0.164392
168,0.070263
169,0.999969
170,0.999936
171,0.999857
172,0.985380
173,0.242043
174,0.997468
175,0.994901
176,0.811124
177,0.860603
178,0.999628
179,0.883137
180,0.952030
181,0.534907
182,0.000000
183,0.846202
184,0.822647
185,0.995108
186,0.852030
187,0.998251
188,1.000000
189,0.999791
190,0.991920
191,0.044921
192,0.014230
193,0.083226
194,0.660710
195,0.536635
196,0.854805
197,0.999865
198,0.955389
199,0.032763
200,0.996446
201,0.032944
202,0.998986
203,0.985710
204,1.000000
205,0.986185
206,0.999642
207,0.989809
208,0.213078
209,0.991740
210,0.037022
211,1
212,0.122448
213,0.922563
214,0.999996
215,0.883277
216,0.039796
217,0.998948
218,0.903708
219,0.999899
220,0.973057
221,0.990454
222,0.995790
223,0.452362
224,0.746115
225,0.877225
226,0.618594
227,0.998702
228,0.780484
229,0.270613
230,0.257357
231,0.047245
232,0.999934
233,0.001360
234,0.430037
235,0.873093
236,0.831884
237,0.820920
238,0.979043
239,0.062431
240,0.910062
241,0.047497
242,0.961922
243,0.037601
244,0.921652
245,0.999997
246,0.722520
247,0.435793
248,0.999801
249,0.001950
250,0.999498
251,0.999871
252,0.093655
253,0.998273
254,0.946921
255,0.944387
256,0.990677
257,0.991270
258,0.318442
259,0.999961
260,0.999851
261,0.933909
262,0.999364
263,0.990988
264,0.999985
265,0.999664
266,0.314507
267,0.999472
268,0.751070
269,0.997735
270,0.989531
271,0.230747
272,0.998770
273,0.064745
274,0.992502
275,0.999995
276,0.999994
277,0.875739
278,0.815176
279,0.721266
280,0.999966
281,0.832361
282,0.999998
283,0.976396
284,0.999873
285,0.999991
286,0.134739
287,0.130544
288,0.073452
289,0.304468
290,0.999871
291,0.228385
292,0.818406
293,0.999205
294,0.884236
295,0.776034
296,0.487020
297,0.999895
298,1.000000
299,0.999829
300,0.979117
301,0.994369
302,0.661344
303,0.999140
304,0.078071
305,0.999962
306,0.001685
307,0.999958
308,0.999996
309,0.037293
310,0.999642
311,0.094288
312,0.997791
313,0.978945
314,0.986279
315,0.962837
316,0.996039
317,0.995965
318,0.998525
319,0.593708
320,0.079689
321,0.994552
322,0.105882
323,0.998689
324,0.999997
325,0.154220
326,0.999969
327,0.485517
328,0.999998
329,0.990659
330,0.443291
331,0.854033
332,0.237545
333,0.084678
334,0.970618
335,0.000379
336,0.188678
337,0.995317
338,0.999976
339,0.968804
340,0.999273
341,0.084518
342,0.259397
343,0.914418
344,0.131806
345,0.999693
346,0.081832
347,0.415360
348,0.950558
349,0.001270
350,0.012794
351,0.630408
352,0.969524
353,1.000000
354,0.999966
355,0.952134
356,0.988557
357,0.994852
358,0.994320
359,0.409770
360,0.406700
361,0.999658
362,0.999969
363,0.839071
364,0.936656
365,0.000000
366,0.436438
367,0.999868
368,0.961865
369,0.002126
370,0.999995
371,0.044720
372,0.927663
373,0.999690
374,0.973240
375,0.815955
376,0.989764
377,0.999991
378,0.998879
379,0.999934
380,0.999849
381,0.623598
382,0.998640
383,0.955757
384,0.983421
385,0.199597
386,0.002031
387,0.722129
388,0.950453
389,0.147984
390,0.705799
391,0.991807
392,0.000000
393,0.732612
394,0.556894
395,0.999994
396,0.998254
397,0.997820
398,0.144749
399,0.999974
400,0.400194
401,0.996577
402,0.999826
403,0.999860
404,0.998634
405,0.999812
406,0.910412
407,0.999463
408,0.938781
409,0.999774
410,0.989610
411,0.276903
412,0.905985
413,0.994559
