Id,Prediction
1,1
2,0
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,0
386,0
387,1
388,1
389,0
390,1
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,1
505,0
506,1
507,0
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,0
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,0
618,0
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,0
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,0
667,0
668,1
669,1
670,0
671,1
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,0
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,0
702,1
703,1
704,0
705,1
706,1
707,0
708,1
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,0
723,0
724,1
725,1
726,0
727,0
728,1
729,1
730,0
731,0
732,0
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,0
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,0
758,0
759,0
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,0
769,1
770,1
771,1
772,1
773,0
774,1
775,0
776,1
777,1
778,0
779,1
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,0
800,1
801,0
802,1
803,0
804,0
805,1
806,0
807,1
808,1
809,1
810,1
811,1
812,0
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,0
831,1
832,1
833,0
834,0
835,1
836,1
837,0
838,1
839,1
840,1
841,0
842,1
843,0
